date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:39:03	318392/318392	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2261e7bdd9-4dbb8%22	http://kendo.cdn.telerik.com/2015.1.429/styles/fonts/DejaVu/DejaVuSansMono-Bold.ttf	C:/ais/ais/kendo.cdn.telerik.com/2015.1.429/styles/fonts/DejaVu/DejaVuSansMono-Bold.ttf	(from http://kendo.cdn.telerik.com/2015.1.429/styles/kendo.common.min.css)
01:39:03	6454/6454	---M--	200	added ('OK')	image/png	etag:%225e8af14e-1936%22	http://kendo.cdn.telerik.com/2015.1.429/styles/Default/imagebrowser.png	C:/ais/ais/kendo.cdn.telerik.com/2015.1.429/styles/Default/imagebrowser.png	(from http://kendo.cdn.telerik.com/2015.1.429/styles/kendo.default.min.css)
01:39:03	787/787	---M--	200	added ('OK')	image/png	etag:%226062d12c-313%22	http://kendo.cdn.telerik.com/2015.1.429/styles/Default/sprite_kpi.png	C:/ais/ais/kendo.cdn.telerik.com/2015.1.429/styles/Default/sprite_kpi.png	(from http://kendo.cdn.telerik.com/2015.1.429/styles/kendo.default.min.css)
01:39:04	1472/1472	---M--	200	added ('OK')	image/png	etag:%2260362cd1-5c0%22	http://kendo.cdn.telerik.com/2015.1.429/styles/Default/sprite_kpi_2x.png	C:/ais/ais/kendo.cdn.telerik.com/2015.1.429/styles/Default/sprite_kpi_2x.png	(from http://kendo.cdn.telerik.com/2015.1.429/styles/kendo.default.min.css)
01:39:06	77924/77924	---M--	200	added ('OK')	image/png	etag:%225e8af14e-13064%22	http://kendo.cdn.telerik.com/2015.1.429/styles/Default/sprite_2x.png	C:/ais/ais/kendo.cdn.telerik.com/2015.1.429/styles/Default/sprite_2x.png	(from http://kendo.cdn.telerik.com/2015.1.429/styles/kendo.default.min.css)
01:39:06	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Jan%202022%2022:39:03%20GMT	https://ais.osym.gov.tr/Yetki/core.xml	C:/ais/ais/ais.osym.gov.tr/Yetki/core.2c.delayed	(from http://kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js)
01:39:07	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Jan%202022%2022:39:07%20GMT	https://ais.osym.gov.tr/Yetki/app.xml	C:/ais/ais/ais.osym.gov.tr/Yetki/app.2d.delayed	(from http://kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js)
01:39:07	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Jan%202022%2022:39:07%20GMT	https://ais.osym.gov.tr/Yetki/workbook.xml	C:/ais/ais/ais.osym.gov.tr/Yetki/workbook.2e.delayed	(from http://kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js)
01:39:07	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Jan%202022%2022:39:07%20GMT	https://ais.osym.gov.tr/Yetki/sheet{0}.xml	C:/ais/ais/ais.osym.gov.tr/Yetki/sheet{0}.2f.delayed	(from http://kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js)
01:39:08	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Jan%202022%2022:39:08%20GMT	https://ais.osym.gov.tr/Yetki/styles.xml	C:/ais/ais/ais.osym.gov.tr/Yetki/styles.30.delayed	(from http://kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js)
01:39:08	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Jan%202022%2022:39:08%20GMT	https://ais.osym.gov.tr/Yetki/sharedStrings.xml	C:/ais/ais/ais.osym.gov.tr/Yetki/sharedStrings.31.delayed	(from http://kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js)
01:39:09	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Jan%202022%2022:39:09%20GMT	https://ais.osym.gov.tr/Yetki/[Content_Types].xml	C:/ais/ais/ais.osym.gov.tr/Yetki/[Content_Types].32.delayed	(from http://kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js)
01:39:10	154/154	---M--	302	error ('Found')	text/html	date:Thu,%2027%20Jan%202022%2022:39:10%20GMT	https://ais.osym.gov.tr/Yetki/GET	C:/ais/ais/ais.osym.gov.tr/Yetki/GET.33.delayed	(from http://kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js)
01:39:11	14196/14196	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Jan%202022%2022:39:11%20GMT	https://ais.osym.gov.tr/Yetki/Giris?ReturnUrl=%2FYetki%2FGET	C:/ais/ais/ais.osym.gov.tr/Yetki/Girise632.html	(from http://kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js)
01:39:11	155/155	---M--	302	error ('Found')	text/html	date:Thu,%2027%20Jan%202022%2022:39:11%20GMT	https://ais.osym.gov.tr/Yetki/POST	C:/ais/ais/ais.osym.gov.tr/Yetki/POST.35.delayed	(from http://kendo.cdn.telerik.com/2015.1.429/js/kendo.web.min.js)
